no,영화이름,장르,유튜브링크,리뷰채널/제목,ann_video_id,violence_frames,neg_hard_frames,neg_easy_frames,n_frames
47,강릉,"액션, 범죄, 스릴러",https://youtu.be/joJuKcAFDZA,무비아저씨 / 전국구 조폭 싸움 느와르 [결말],Kangleung,424,28,3992,4444
48,추격자,"스릴러, 범죄, 액션",https://youtu.be/xuvDqEuaklQ,소극장 / 석방된 싸이코패스 살인마,Chaser,140,0,1556,1696
49,사생결단,"액션, 스릴러, 느와르",https://youtu.be/C8ToGbahiJ0,리씨네 / 황정민 X 류승범,Bloodtie,715,78,2353,3146
50,우아한 세계,"드라마, 느와르",https://youtu.be/uThEkqM_RRs,채널휸 / 조폭 조직 2인자를 제껴버린 간부의 최후 [결말],uThEkqM_RRs,608,33,2175,2816
51,마스터,"스릴러, 액션, 범죄",https://youtu.be/Ux_jXm2kQRg,한국무비 / 조희팔 실화 배경 [결말],Ux_jXm2kQRg,534,209,3696,4439
52,친구2,"액션, 느와르",https://youtu.be/0OwaYB-BBWI,인생영화 / 29분 순삭 친구 후속작,0OwaYB-BBWI,843,171,2566,3580
53,독전,"범죄, 액션, 느와르",https://youtu.be/1YAwZ5CWXCQ,방구석편집자 / 류준열 조진웅 독전,1YAwZ5CWXCQ,583,324,1798,2705
54,불한당: 나쁜 놈들의 세계,"액션, 범죄, 느와르",https://youtu.be/xxLsnS0RtJw,줌인센타 / 경찰과 범죄자 사이 브로맨스,xxLsnS0RtJw,401,236,3421,4058
55,악인전,"액션, 범죄, 느와르",https://youtu.be/bodJMoaKBDU,한국무비 / 마동석 김무열 악인전 [결말],bodJMoaKBDU,637,275,2341,3253
56,프리즌,"범죄, 액션, 느와르",https://youtu.be/7yjksetGYP8,탄직이 / 이경영 프리즌 명장면 [결말],7yjksetGYP8,421,222,1392,2035
57,청년경찰,"액션, 코미디, 범죄",https://youtu.be/v83LfP7u4hg,씨네메이트 / 박서준 강하늘 청년경찰 [결말],v83LfP7u4hg,625,432,1045,2102
58,극비수사,"범죄, 드라마, 스릴러",https://youtu.be/xchA2hyg5Q4,채널휸 / 김윤석 유해진 [결말],xchA2hyg5Q4,204,149,2203,2556
59,거룩한 계보,"드라마, 액션, 느와르",https://youtu.be/onaLdhfqmHM,시네마홀릭 / 30분 순삭 조폭 영화 숨은 명작,onaLdhfqmHM,1110,209,2340,3659
60,조작된 도시,액션,https://youtu.be/XFcW-PzEZDw,달빛뮤즈 / 범죄조직을 괴멸시키는 능력자,XFcW-PzEZDw,369,25,2621,3015
61,공조1,,https://youtu.be/wfPu-ovCvT8,(유튜브),gongjo,891,69,1520,2480
62,공조2,,https://youtu.be/Ydu-FWrFeNs,(유튜브),gongjo2,237,109,1206,1552
63,크게 될 놈,"드라마, 액션",https://youtu.be/q5iGYMWjyv8,안보면쏜다 / 1급 사형수를 건드린 전국구 두목의 최후 [결말],,,,,
64,차이나타운,"범죄, 드라마",https://youtu.be/hvwshHnsjY4,채널휸 / 어벤저스에 밀려 2위 한국 액션 느와르 수작,,,,,
